Customer Key,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made
55275,4,1,4,9
81863,6,2,0,3
46373,4,5,0,2
72430,2,1,2,4
18916,2,1,4,6
94666,7,3,2,2
27101,6,2,1,2
47496,4,2,0,0
54281,3,1,4,7
46223,7,4,2,1
36628,6,3,0,1
61996,4,2,0,2
53207,6,5,2,1
54477,3,1,5,4
96269,5,4,1,0
99589,2,2,4,8
96463,2,0,3,4
37252,6,2,1,2
40508,5,5,0,2
61994,5,2,0,4
81910,6,2,0,2
30256,4,3,0,0
11799,7,3,2,3
59783,3,0,5,10
44770,4,0,1,7
11265,7,3,2,0
17341,7,1,3,4
90586,4,5,2,1
18595,7,3,1,2
69965,4,5,0,1
98969,3,0,4,4
13720,5,4,1,2
83290,7,4,0,0
31256,4,1,5,7
33240,6,5,2,1
11698,4,3,0,4
46388,3,1,4,10
34423,6,4,0,1
52758,1,0,3,10
62483,4,4,2,1
84069,4,2,3,5
28842,2,0,5,6
90999,7,5,2,3
87471,3,2,2,9
30712,4,4,2,4
35103,1,1,4,5
65825,6,4,2,2
79403,1,1,4,5
26678,4,4,2,1
29919,4,3,1,4