annual_hours_worked,sunshine_hours,life_expectancy,happiness_levels
1434,1858,81.2,7.44
1712,2636,82.1,7.22
1501,1884,81,7.29
1452,1821,81.8,7.35
1380,1630,79.8,7.64
1540,1662,80.4,7.8
1644,2769,83.2,5.87
1386,1626,80.6,7.07
1686,2591,82.2,6.4
1670,1938,81.7,7.23
1712,2363,82.1,7.22
NaN,2671,75.4,5.12
NaN,2624,74.1,5.99
NaN,2525,75.9,5.97
1670,2066,81.7,7.23
1686,2769,82.2,6.4
NaN,2983,68.5,5.28
1967,2066,81.3,5.87
1386,1662,80.6,7.07
1557,NaN,82.6,7.56
1898,3311,81.9,7.12
1832,2218,74.7,5.13
NaN,3542,70.7,4.15
NaN,1405,75.4,5.12
1779,3254,78.8,6.94
NaN,2584,67.3,3.57
1779,2634,78.8,6.94
1772,1453,80.5,7.09
1644,1877,83.2,5.87
1779,2508,78.8,6.94
NaN,1836,75.4,5.51
NaN,1776,75.4,5.12
1583,1546,80.4,6.86
1779,3062,78.8,6.94
1505,1662,81.8,6.66
NaN,2003,73.9,6.37
1557,1566,82.6,7.56
1538,1633,80.4,7.16
NaN,3124,56.3,4.81
1718,1915,82.7,6.38
1779,2528,78.8,6.94
1779,2535,78.8,6.94
1965,1901,69.5,5.54
2137,2555,76.4,6.46